,id,year,name,rating,votes,description,genres,stars,writes,cast,directors,release_day,country,language,filming_locations,budget,total_gross,duration
34,35,1896,Watering the Flowers (1896) ,5.5,56,"This lost film presumably features a person watering flowers to comedic effect. This film is believed to have imitated the Louis and Auguste Lumière film ""L'arroseur arrose"", which survives.","['Short', 'Comedy']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,1
35,36,1896,Awakening of Rip (1896) ,4.4,503,A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,"['Drama', 'Short']","[('Joseph Jefferson', 420198)]",,"[{'star': 'Joseph Jefferson', 'star_id': 420198, 'character': 'Rip Van Winkle', 'character_id': 36}]","[('William K.L. Dickson', 5690)]",1 September 1896,USA,None,"['Buzzards Bay', 'Massachusetts', 'USA']",,,0
36,37,1896,Sea Bathing (1896) ,4.5,40,"The film was shown tenth and completed the famous first paid Lumière cinema show of the ten films in Paris in the basement ""Grand Cafe"" on the Boulevard des Capucines 28 December 1895. ...
                    See full summary »",['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,1
37,38,1898,The Ball Game (1898) ,4.2,152,"""The Reading's [Pennsylvania] pitcher has just let a Newark [New Jersey] batsman walk to first. Our camera is stationed about twenty feet from the bag, and the satisfied grin of the runner ...
                    See full summary »","['Documentary', 'Short', 'Sport']","[('Scoops Carey', 2960633), ('Zane Grey', 2960633), ('Scott Stratton', 2960633)]",,"[{'star': 'Scoops Carey', 'star_id': 2960633, 'character': 'Self - First baseman', 'character_id': 38}, {'star': 'Zane Grey', 'star_id': 340719, 'character': 'Self', 'character_id': 38}, {'star': 'Scott Stratton', 'star_id': 2958402, 'character': 'Self', 'character_id': 38}]","[('William Heise', 374658)]",20 May 1898,USA,None,,,,
38,39,1896,Barnet Horse Fair (1896) ,3.7,14,No description.,['Short'],,,[],,1896,UK,None,,,,
39,40,1896,Barque sortant du port de Trouville (1896) ,4.2,37,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
40,41,1897,Snowball Fight (1897) ,6.7,1510,"People start a snowball fight on a street in Lyons, France.","['Documentary', 'Short', 'Comedy']",,,[],"[('Louis Lumière', 525910)]",7 February 1897,France,None,,,,1
41,42,1896,Bateau-mouche sur la Seine (1896) ,4.5,21,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
42,43,1896,Batteuse à vapeur (1896) ,3.6,12,Little is known of this lost film; presumably it featured one or more threshing machines.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
43,44,1896,Le bivouac (1896) ,4.6,27,"This lost film, among the earliest by Georges Méliès, presumably featured the use of a bivouac sack for a soldier encampment.",['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,1
44,45,1896,Mosónök (1896) ,4.5,16,This lost film presumably features women washing clothing.,['Short'],,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
45,46,1896,Bois de Boulogne (1896) ,4.2,16,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,,,,
46,47,1896,Boulevard des Italiens (1896) ,3.5,15,No description.,"['Documentary', 'Short']",,,[],"[('Georges Méliès', 617588)]",1896,France,None,"['Paris', 'France']",,,
47,48,1896,The Boxing Kangaroo (1896) ,4.8,135,No description.,['Short'],,,[],"[('Birt Acres', 10291)]",January 1896,UK,None,,,,
